file,group,split
test/images/-1009-_png_jpg.rf.04e7373f2c6ecee68e879cc9f431f049.jpg,g000003,train
test/images/-1009-_png_jpg.rf.19845174e3dc044b429cf51093938b51.jpg,g000003,train
test/images/-1009-_png_jpg.rf.a028523cf278f9bb53da33b928e024ac.jpg,g000003,train
test/images/-1011-_png_jpg.rf.3ab4e97609812cb8ea105dd77579288d.jpg,g000005,train
test/images/-1011-_png_jpg.rf.b91b2effd68a3885cf9b51185fb84036.jpg,g000005,train
test/images/-1021-_png_jpg.rf.dae7a6c6e1d57ef5d5337a30e1939c0a.jpg,g000011,train
test/images/-1023-_png_jpg.rf.a96e91ea9723768dda54049c8d3ac5af.jpg,g000012,train
test/images/-1023-_png_jpg.rf.c2ca0d32aa71bed89d7b124fd79ab98e.jpg,g000012,train
test/images/-1024-_png_jpg.rf.23109b43a3eacb47acacce7c660d3eeb.jpg,g000013,train
test/images/-1024-_png_jpg.rf.c626188c290f1f31c545dbf27ebebbaf.jpg,g000013,train
test/images/-1031-_png_jpg.rf.753ea7b548067a0a38b76ce3ae2123b8.jpg,g000014,train
test/images/-1034-_png_jpg.rf.5060072c2056ca5758542c52823f6803.jpg,g000016,train
test/images/-104-_png_jpg.rf.1f78cdbe83f5b768508013936ad76090.jpg,g000020,valid
test/images/-1045-_png_jpg.rf.ead3bb06d6bb0382e7af53b4ed92140a.jpg,g000023,train
test/images/-1046-_png_jpg.rf.263e7a3ea149c432a77bab1706a14097.jpg,g000024,train
test/images/-1046-_png_jpg.rf.9844bcbb57e993ec1bfcae37b077c294.jpg,g000024,train
test/images/-1046-_png_jpg.rf.9cb2425a18b41e201e7ed1b9a4a23475.jpg,g000024,train
test/images/-1051-_png_jpg.rf.cf1f5e16414e155e339231a6e3aeddc2.jpg,g000027,train
test/images/-1055-_png_jpg.rf.7b68dc08efe9ce680c93b1d077f53638.jpg,g000030,train
test/images/-1062-_png_jpg.rf.2a28252a4488a239f39e5092bb1238fd.jpg,g000034,train
test/images/-1062-_png_jpg.rf.de554f442141052121f8c8b46f89d7e8.jpg,g000034,train
test/images/-1068-_png_jpg.rf.2586bcc0e04fdbf091f1a8bee5fe16e5.jpg,g000036,train
test/images/-1069-_png_jpg.rf.17da3452aa5ab89c39866a27f38fbdd9.jpg,g000037,train
test/images/-1070-_png_jpg.rf.cb82cf539249ce9f51fb5b4bdfae4acd.jpg,g000038,train
test/images/-1073-_png_jpg.rf.a8110456f4f405c80ec2b7847d484e1e.jpg,g000039,test
test/images/-1073-_png_jpg.rf.badf0f92c9bc43f2485243f49b55b566.jpg,g000039,test
test/images/-1073-_png_jpg.rf.c6cc35100e71afcd7893804255ed32b2.jpg,g000039,test
test/images/-1074-_png_jpg.rf.c14caddfb8ef695182802616e269d3bf.jpg,g000040,train
test/images/-1078-_png_jpg.rf.62c17a84d3ac7f2b03912c1dcc874ae0.jpg,g000042,train
